Job Require Skill ,Also Require Skill,Probability
gcp,apache,14
analytic,sql,13
data science,analytic,13
git,analytic,13
sql,analytic,13
data engineering,analytic,12
algorithms,clustering,12
modeling,agile,12
algorithms,software engineering,12
business intelligence,agile,12
machine learning,agile,12
statistics,agile,12
cloud,analytic,12
analytic,communication,11
data pipeline,analytic,11
math,agile,11
aws,python,11
aws,sql,11
data structure,agile,11
snowflake,algorithms,11
snowflake,aws,11
natural language processing,agile,11
natural language processing,aws,11
matlab,c++ ,11
analytic,python,10
analytic,modeling,10
python,analytic,10
reporting ,algorithms,10
relational databases,agile,10
relational databases,aws,10
machine learning,analytic,9
predictive,analytic,9
algorithms,natural language processing,9
algorithms,regression,9
algorithms,reporting ,9
agile,databricks,9
algorithms,linear algebra,9
algorithms,project management,9
algorithms,julia,9
databricks,apache,9
algorithms,hadoop,9
algorithms,data pipeline,9
agile,structured and unstructured data,9
agile,flink,9
agile,kubernetes,9
software engineering,azure,9
agile,pytorch,9
algorithms,agile,9
agile,clustering,9
predictive,agile,9
agile,team-oriented,9
data visualization,analytic,9
software engineering,analytic,9
agile,data structure,9
software engineering,agile,9
algorithms,image processing,9
software engineering,machine learning,9
pipeline ,analytic,9
algorithms,pandas,9
powerbi,analytic,9
aws,machine learning,9
agile,scikit-learn,9
pandas,data science,9
software engineering,apache,9
software engineering,analysis,9
scikit-learn,algorithms,9
clustering,analytic,9
agile,data mining,9
agile,keras,9
pandas,aws,9
scikit-learn,aws,9
pipeline ,aws,9
analytic,data science,8
analytic,excel,8
analytic,reporting ,8
azure,apache,8
keras,analysis,8
pytorch,analytic,8
pytorch,analysis,8
pytorch,data science,8
nosql,apache,8
data mining,agile,8
keras,aws,8
pytorch,aws,8
analytic,insights,7
statistics,analytic,7
algorithms,matlab,7
algorithms,relational databases,7
algorithms,spark ml,7
git,aws,7
analytic,machine learning,6
analytic,aws,6
analytic,tableau,6
analytic,cloud,6
analytic,manufacturing,6
analytic,ml,6
snowflake,communication,6
data structure,analytic,6
aws,data science,6
aws,git,6
aws,statistics,6
algorithms,google cloud,5
java,analytic,5
analytic,git,5
algorithms,calculus,5
algorithms,discrete mathematics,5
hadoop,apache,5
java,apache,5
spark,apache,5
algorithms,mapreduce,5
algorithms,self-starter,5
agile,power apps,5
agile,probability,5
algorithms,databricks,5
agile,looker,5
agile,relational databases,5
agile,julia,5
agile,software engineering,5
algorithms,nosql,5
algorithms,probability,5
agile,apache,5
agile,apache airflo,5
agile,apache beam,5
agile,apache spark,5
agile,data catalogs,5
agile,data cleanliness,5
agile,google cloud,5
agile,graph-based,5
agile,pubsub,5
agile,scio,5
agile,video assets,5
algorithms,dax,5
algorithms,snowflake,5
machine learning,aws,5
spark,aws,5
tensorflow,data science,5
hadoop,analytic,5
spark,analytic,5
algorithms,artifical intelligence,5
agile,github,5
agile,natural language processing,5
hadoop,aws,5
tensorflow,aws,5
hadoop,c++ ,5
java,c++ ,5
agile,numpy,5
math,analytic,4
analytic,big data,4
analytic,statistics,4
python,aws,4
aws,apache,4
cloud,apache,4
data pipeline,communication,4
sql,aws,4
data pipeline,sql,4
azure,business intelligence,4
business intelligence,azure,4
azure,communication,4
azure,dax,4
azure,excel,4
azure,manufacturing,4
azure,software engineering,4
azure,sql,4
azure,tableau,4
data science,aws,4
aws,insights,4
aws,spark,4
business intelligence,aws,4
aws,cloud,4
cloud,aws,4
aws,excel,4
aws,snowflake,4
statistics,aws,4
data pipeline,apache,4
data pipeline,manufacturing,4
data pipeline,ml,4
azure,analytic,4
aws,version control,4
azure,aws,4
data mining,aws,4
r,c++ ,4
analytic,data engineering,3
analytic,predictive,3
big data,apache,3
analytic,r,3
analytic,collaboration,3
analytic,data pipeline,3
analytic,business intelligence,3
analytic,leadership,3
analytic,data visualization,3
analytic,gcp,3
analytic,looker,3
analytic,snowflake,3
data engineering,aws,3
analytic,relational databases,3
analytic,tensorflow,3
data engineering,communication,3
data visualization,communication,3
data visualization,aws,3
data engineering,data science,3
data engineering,machine learning,3
data engineering,math,3
data engineering,python,3
data engineering,spark,3
data engineering,statistics,3
algorithms,version control,2
algorithms,structured and unstructured data,2
algorithms,apache,2
algorithms,apache spark,2
algorithms,graph-based,2
ml,apache,2
sql,apache,2
algorithms,multitask,2
math,communication,2
tableau,communication,2
aws,collaboration,2
aws,data engineering,2
aws,data warehousing ,2
aws,modeling,2
modeling,aws,2
tableau,azure,2
analytic,math,2
analytic,matlab,2
analytic,self-starter,2
analytic,databricks,2
analytic,numpy,2
analytic,pandas,2
analytic,scikit-learn,2
analytic,xgboost,2
analytic,nosql,2
analytic,version control,2
analytic,curiosity,2
analytic,keras,2
analytic,kubernetes,2
analytic,spark,2
python,apache,2
algorithms,flink,2
algorithms,numpy,2
aws,manufacturing,2
algorithms,data warehousing ,2
aws,business intelligence,2
aws,communication,2
aws,data visualization,2
aws,math,2
math,aws,2
ml,data science,2
modeling,data science,2
git,apache,2
ml,data pipeline,2
algorithms,scikit-learn,2
algorithms,power apps,2
algorithms,rest api,2
aws,numpy,2
aws,pandas,2
aws,relational databases,2
aws,scikit-learn,2
math,data engineering,2
spark,data engineering,2
aws,azure,2
aws,github,2
aws,hadoop,2
aws,keras,2
aws,ml,2
ml,aws,2
aws,predictive,2
predictive,aws,2
aws,pytorch,2
aws,tensorflow,2
aws,data mining,2
aws,natural language processing,2
aws,pipeline ,2
ml,c++ ,2
algorithms,caffe,2
data science,sql,1
sql,data science,1
data science,apache,1
machine learning,apache,1
statistics,communication,1
data science,communication,1
sql,communication,1
sql,data pipeline,1
sql,azure,1
machine learning,manufacturing,1
machine learning,software engineering,1
analytic,github,1
analytic,java,1
analytic,julia,1
analytic,software engineering,1
analytic,data security,1
analytic,data structure,1
analytic,data table design ,1
analytic,data warehousing ,1
analytic,pipeline ,1
analytic,rest api,1
analytic,sqs,1
analytic,pytorch,1
analytic,c++ ,1
analytic,caffe,1
analytic,cuda,1
analytic,nvidia gpus,1
analytic,powerbi,1
data science,insights,1
data science,machine learning,1
machine learning,data science,1
data science,ml,1
data science,modeling,1
data science,pandas,1
data science,python,1
analytic,azure,1
data science,pytorch,1
data science,structured and unstructured data,1
data science,tensorflow,1
analytic,hadoop,1
analytic,structured and unstructured data,1
analytic,clustering,1
python,communication,1
python,data science,1
data science,data engineering,1
machine learning,data engineering,1
python,data engineering,1
statistics,data engineering,1
data science,c++ ,1
python,c++ ,1
sql,c++ ,1
